step,split,loss,ppl,lr,tokens_per_sec,elapsed_sec
0,valid,8.341131409009298,4192.83086550029,0.0,0.0,0.0
20,train,8.25335693359375,3840.4964980609257,1.1999999999999999e-05,304580.2703259127,1.0758411884307861
40,train,7.9654436111450195,2879.7063644533664,2.3999999999999997e-05,487878.5657027702,1.343285083770752
60,train,7.615479469299316,2029.3675449873451,3.5999999999999994e-05,610274.3627104606,1.610816478729248
80,train,7.298087120056152,1477.4709981060341,4.7999999999999994e-05,697783.9882740529,1.878403663635254
100,train,6.957573890686035,1051.080425396376,5.9999999999999995e-05,763045.7074299254,2.1471846103668213
120,train,6.598706245422363,734.1447714121689,7.199999999999999e-05,813789.0057831329,2.4159579277038574
140,train,6.333749294281006,563.2644841423221,8.4e-05,854379.2771165225,2.684709310531616
160,train,6.072348594665527,433.69806736086457,9.599999999999999e-05,887600.9773888969,2.953399181365967
180,train,5.99704122543335,402.2369027765816,0.00010799999999999998,915302.6900007881,3.2220160961151123
200,train,5.899551868438721,364.8739197032125,0.00011999999999999999,938676.2165405379,3.4908735752105713
220,train,5.917691230773926,371.5528929628923,0.00013199999999999998,958626.6294408487,3.7600457668304443
240,train,5.874571800231934,355.87224362845393,0.00014399999999999998,975827.0459677277,4.029566526412964
250,valid,5.875395317872365,356.1654314049053,0.00015,983221.7023291371,4.165896654129028
260,train,5.856612682342529,349.5381397545781,0.000156,931661.4389469067,4.572304725646973
280,train,5.824502944946289,338.4928416787455,0.000168,947435.2730529682,4.842040538787842
300,train,5.902286529541016,365.8730917945114,0.00017999999999999998,961525.8032982881,5.111875295639038
320,train,5.890301704406738,361.5143383894112,0.00019199999999999998,974315.0648836461,5.3810930252075195
340,train,5.839035987854004,343.44809289411313,0.000204,985814.6338201617,5.650717496871948
360,train,5.853302955627441,348.38317639634795,0.00021599999999999996,996262.4419972083,5.92036771774292
380,train,5.886123180389404,360.00689368413265,0.00022799999999999999,1005820.0608382177,6.189894437789917
400,train,5.8614349365234375,351.2277721546053,0.00023999999999999998,1014641.7932247045,6.459028244018555
420,train,5.856019020080566,349.3306937344185,0.000252,1022319.1697610207,6.731048583984375
440,train,5.92603063583374,374.6643789770483,0.00026399999999999997,1029692.0304149139,7.001083612442017
460,train,5.881457328796387,358.3310675639761,0.000276,1036524.9451802823,7.271064758300781
480,train,5.909313678741455,368.4531913539772,0.00028799999999999995,1042935.0107787782,7.540565729141235
500,train,5.882255554199219,358.6172107129014,0.0003,1048861.7418447707,7.81037163734436
500,valid,5.867448349793752,353.3462130471046,0.0003,1048861.7418447707,7.81037163734436
520,train,5.890073776245117,361.4319484807093,0.00029999703912842054,1019898.1870091682,8.353461265563965
540,train,5.856375217437744,349.4551465678771,0.00029998752510231383,1025973.1267643344,8.62338376045227
560,train,5.646719932556152,283.3604982951269,0.00029997145013596697,1031684.7517911904,8.893259286880493
580,train,5.559320449829102,259.6463336481279,0.0002999488149325511,1036723.613259632,9.166107416152954
600,train,5.4208478927612305,226.07072499261932,0.0002999196204822032,1041814.5489680823,9.435844421386719
620,train,5.371167182922363,215.11379838668623,0.00029988386806198316,1046586.0802952112,9.70591926574707
640,train,5.388554573059082,218.8867719509742,0.0002998415592358178,1051095.1626841743,9.976032972335815
660,train,5.305666923522949,201.47532625122474,0.000299792695854432,1055360.8067073089,10.246201992034912
680,train,5.168388366699219,175.63155560844206,0.0002997372800552686,1059414.8929091736,10.516295433044434
700,train,5.119874954223633,167.31444634810683,0.000299675314262394,1063286.0669163573,10.786184787750244
720,train,5.112982749938965,166.16524581566904,0.00029960680118639284,1066932.580620996,11.056443691253662
740,train,5.077613353729248,160.39080265451042,0.0002995317438242489,1070428.963886977,11.326449871063232
750,valid,5.022923092047374,151.85454046725118,0.00029949176205071125,1072013.2696035935,11.462544679641724
760,train,4.970127582550049,144.04526386072075,0.00029945014545921443,1048993.4081974444,11.870274782180786
780,train,5.008977890014648,149.75159529810603,0.00029936200966066627,1052656.7218626204,12.140254020690918
800,train,4.989421844482422,146.85149594474933,0.0002992673402839497,1056135.427592678,12.410529613494873
820,train,4.865922451019287,129.79060888780165,0.0002991661414702101,1059466.3427396633,12.68079924583435
840,train,4.970009803771973,144.02829938460283,0.0002990584176462111,1062701.940150541,12.950536251068115
860,train,4.883879661560059,132.14233823247966,0.00029894417352414215,1065769.0812400116,13.220725059509277
880,train,4.827000617980957,124.83596780532388,0.00029882341410141097,1068768.4073770354,13.490219116210938
